iKS1317_ID,Sco4_ID,comment
ACPact[c],ACPact_c,identical
malcoa[c],malcoa_c,identical
coa[c],coa_c,identical
malACPact[c],malACPact_c,identical
actint1ACPact[c],actint1ACPact_c,identical
nadph[c],nadph_c,identical
h[c],h_c,identical
actint2ACPact[c],actint2ACPact_c,identical
nadp[c],nadp_c,identical
actint3ACPact[c],actint3ACPact_c,identical
h2o[c],h2o_c,identical
actint4ACPact[c],actint4ACPact_c,identical
actint5ACPact[c],actint5ACPact_c,identical
dnpaACPact[c],dnpaACPact_c,identical
ddhkACPact[c],ddhkACPact_c,identical
o2[c],o2_c,identical
dhkACPact[c],dhkACPact_c,identical
nadh[c],nadh_c,identical
nad[c],nad_c,identical
act[c],ACT_c,identical
accoa[c],accoa_c,identical
actACPact[c],actACPact_c,identical
co2[c],co2_c,identical
pk6ACPact[c],pk6ACPact_c,identical
pk8ACPact[c],pk8ACPact_c,identical
pk10ACPact[c],pk10ACPact_c,identical
pk12ACPact[c],pk12ACPact_c,identical
pk14ACPact[c],pk14ACPact_c,identical
pk16ACPact[c],pk16ACPact_c,identical
ala__L[c],ala-L_c,identical
nh4[c],nh4_c,identical
pyr[c],pyr_c,identical
ala__D[c],ala-D_c,identical
akg[c],akg_c,identical
glu__L[c],glu-L_c,identical
ala_B[c],ala-B_c,identical
msa[c],msa_c,identical
asn__L[c],asn-L_c,identical
asp__L[c],asp-L_c,identical
atp[c],atp_c,identical
gln__L[c],gln-L_c,identical
amp[c],amp_c,identical
ppi[c],ppi_c,identical
h2o2[c],h2o2_c,identical
oaa[c],oaa_c,identical
oxadpcoa[c],oxadpcoa_c,identical
succoa[c],succoa_c,identical
5dglcn[c],5dglcn_c,identical
glcn[c],glcn_c,identical
salcn6p[c],salc6p_c,identical
2hymeph[c],2hymeph_c,identical
g6p[c],g6p_c,identical
14glucan[e],14glucan_e,identical
malthx[e],malthx_e,identical
acmum6p[c],acmum6p_c,identical
acgam6p[c],acgam6p_c,identical
lac__D[c],lac-D_c,identical
ppa[c],ppa_c,identical
ppcoa[c],ppcoa_c,identical
adn[c],adn_c,identical
ade[c],ade_c,identical
rib__D[c],rib-D_c,identical
ac[c],ac_c,identical
gam6p[c],gam6p_c,identical
glyald[c],glyald_c,identical
glyc[c],glyc_c,identical
fald[c],fald_c,identical
for[c],for_c,identical
pacald[c],pacald_c,identical
pac[c],pac_c,identical
acald[c],acald_c,identical
alltt[c],alltt_c,identical
urdglyc[c],urdglyc_c,identical
malt[c],malt_c,identical
malttr[c],malttr_c,identical
glc__D[c],glc-D_c,identical
maltttr[c],maltttr_c,identical
maltpt[c],maltpt_c,identical
malthx[c],malthx_c,identical
malthp[c],malthp_c,identical
arab__L[c],arab-L_c,identical
rbl__L[c],rbl-L_c,identical
cellb[c],celb_c,identical
cytd[c],cytd_c,identical
csn[c],csn_c,identical
abt__D[c],abt-D_c,identical
xylu__D[c],xylu-D_c,identical
chtbs[c],chtbs_c,identical
acgam[c],acgam_c,identical
2ddglcn[c],2ddglcn_c,identical
2ddg6p[c],2ddg6p_c,identical
adp[c],adp_c,identical
23dhacoa[c],23dhacoa_c,identical
3hadpcoa[c],3hadpcoa_c,identical
dha[c],dha_c,identical
dhap[c],dhap_c,identical
5dh4dglc[c],5dh4dglc_c,identical
25dop[c],25dptn_c,identical
drib[c],drib_c,identical
2dr5p[c],2dr5p_c,identical
g3p[c],g3p_c,identical
tartr__D[c],tartr-D_c,identical
epm[c],epm_c,identical
gal[c],gal_c,identical
man[c],man_c,identical
forcoa[c],forcoa_c,identical
oxa[c],oxa_c,identical
oxalcoa[c],oxalcoa_c,identical
f1p[c],f1p_c,identical
fdp[c],fdp_c,identical
glyc3p[c],glyc3p_c,identical
f6p[c],f6p_c,identical
dgal6p[c],dgal6p_c,identical
tag6p__D[c],tag6p-D_c,identical
galctn__D[c],galctn-D_c,identical
2dh3dgal[c],2dh3dgal_c,identical
1Dgali[c],1Dgali_c,identical
inost[c],inost_c,identical
gal1p[c],gal1p_c,identical
melib[c],melib_c,identical
ggl[c],ggl_c,identical
acglc__D[c],acglc-D_c,identical
2h3oppan[c],2h3oppan_c,identical
glcr[c],glcr_c,identical
glyc__R[c],glyc-R_c,identical
glyclt[c],glyclt_c,identical
glx[c],glx_c,identical
mqn9[c],mqn9_c,identical
mql9[c],mql9_c,identical
6pgc[c],6pgc_c,identical
man6p[c],man6p_c,identical
fru[c],fru_c,identical
hpyr[c],hpyr_c,identical
idon__L[c],idon-L_c,identical
lcts[c],lcts_c,identical
lald__L[c],lald-L_c,identical
lac__L[c],lac-L_c,identical
lyx__L[c],lyx-L_c,identical
xylu__L[c],xylu-L_c,identical
acmalt[c],acmalt_c,identical
melt[c],melt_c,identical
sbt__D[c],sbt-D_c,identical
h2o[e],h2o_e,identical
malttr[e],malttr_e,identical
glc__D[e],glc-D_e,identical
malt[e],malt_e,identical
maltttr[e],maltttr_e,identical
maltpt[e],maltpt_e,identical
malthp[e],malthp_e,identical
pi[c],pi_c,identical
g1p[c],g1p_c,identical
mnl[c],mnl_c,identical
tre[c],tre_c,identical
3oxdhscoa[c],3oxdhscoa_c,identical
phaccoa[c],phaccoa_c,identical
rephaccoa[c],rephaccoa_c,identical
tagdp__D[c],tagdp-D_c,identical
man1p[c],man1p_c,identical
ppap[c],ppap_c,identical
r1p[c],r1p_c,identical
r5p[c],r5p_c,identical
2dr1p[c],2dr1p_c,identical
raffin[c],raffin_c,identical
sucr[c],sucr_c,identical
ru5p__L[c],ru5p-L_c,identical
xu5p__D[c],xu5p-D_c,identical
2oxpaccoa[c],2oxpaccoa_c,identical
rmn[c],rmn_c,identical
rml[c],rml_c,identical
rml1p[c],rml1p_c,identical
taur[c],taur_c,identical
aacald[c],aacald_c,identical
so3[c],so3_c,identical
succ[c],succ_c,identical
tre6p[c],tre6p_c,identical
udpg[c],udpg_c,identical
udp[c],udp_c,identical
udpgal[c],udpgal_c,identical
uri[c],uri_c,identical
ura[c],ura_c,identical
xu5p__L[c],xu5p-L_c,identical
xyl__D[c],xyl-D_c,identical
xylt[c],xylt_c,identical
icit[c],icit_c,identical
mal__L[c],mal-L_c,identical
gtp[c],gtp_c,identical
gdp[c],gdp_c,identical
pep[c],pep_c,identical
h[e],h_e,identical
4hglusa[c],4hglusa_c,identical
e4hglu[c],e4hglu_c,identical
4abut[c],4abut_c,identical
sucsal[c],sucsal_c,identical
4abutn[c],4abutn_c,identical
acglu[c],acglu_c,identical
acg5p[c],acg5p_c,identical
acorn[c],acorn_c,identical
acg5sa[c],acg5sa_c,identical
amet[c],amet_c,identical
ametam[c],ametam_c,identical
agm[c],agm_c,identical
cptrc[c],cptrc_c,identical
ptrc[c],ptrc_c,identical
urea[c],urea_c,identical
progly[c],progly_c,identical
gly[c],gly_c,identical
pro__L[c],pro-L_c,identical
15dap[c],15dap_c,identical
5mta[c],5mta_c,identical
na15dap[c],na15dap_c,identical
arg__L[c],arg-L_c,identical
citr__L[c],citr-L_c,identical
argsuc[c],argsuc_c,identical
fum[c],fum_c,identical
hco3[c],hco3_c,identical
cbp[c],cbp_c,identical
4h2oglt[c],4h2oglt_c,identical
glu5sa[c],glu5sa_c,identical
1pyr5c[c],1pyr5c_c,identical
glu5p[c],glu5p_c,identical
1p3h5c[c],1p3h5c_c,identical
4hpro_LT[c],4hpro-LT_c,identical
5mtr[c],5mtr_c,identical
orn[c],orn_c,identical
fad[c],fad_c,identical
fadh2[c],fadh2_c,identical
3oxoadp[c],3oxoadp_c,identical
4cml[c],4cml_c,identical
5odhf2a[c],5odhf2a_c,identical
CCbuttc[c],CCbuttc_c,identical
34dhbz[c],34dhbz_c,identical
vanlt[c],vanlt_c,identical
acac[c],acac_c,identical
aacoa[c],aacoa_c,identical
bhb[c],bhb_c,identical
ibcoa[c],ibcoa_c,identical
btcoa[c],btcoa_c,identical
ACPcda[c],ACPcda_c,identical
malACPcda[c],malACPcda_c,identical
hexACPcda[c],hexACPcda_c,identical
hxa[c],hxa_c,identical
hxcoa[c],hxcoa_c,identical
hx2coa[c],hx2coa_c,identical
ephxcoa[c],ephxcoa_c,identical
34hpp[c],34hpp_c,identical
4hmda[c],4hmda_c,identical
4hpglx[c],4hpglx_c,identical
4hpgly[c],4hpgly_c,identical
5mthf[c],5mthf_c,identical
meglu[c],meglu_c,identical
thf[c],thf_c,identical
ser__L[c],ser-L_c,identical
thr__L[c],thr-L_c,identical
trp__L[c],trp-L_c,identical
cdaint1[c],CDAint1_c,identical
cdaint2[c],CDAint2_c,identical
cda[c],CDA_c,identical
actACPcda[c],actACPcda_c,identical
3haACPcda[c],3haACPcda_c,identical
but2eACPcda[c],but2eACPcda_c,identical
butACPcda[c],butACPcda_c,identical
3ohexACPcda[c],3ohexACPcda_c,identical
3hhexACPcda[c],3hhexACPcda_c,identical
thex2eACPcda[c],thex2eACPcda_c,identical
3hdecACP[c],3hdecACP_c,identical
tdec2eACP[c],tdec2eACP_c,identical
3hundcaACP[c],3hundcaACP_c,identical
tundca2eACP[c],tundca2eACP_c,identical
3hddecACP[c],3hddecACP_c,identical
tddec2eACP[c],tddec2eACP_c,identical
3hcddec5eACP[c],3hcddec5eACP_c,identical
t3c5ddeceACP[c],t3c5ddeceACP_c,identical
3htridcaACP[c],3htridcaACP_c,identical
ttridca2eACP[c],ttridca2eACP_c,identical
3hmrsACP[c],3hmrsACP_c,identical
tmrs2eACP[c],tmrs2eACP_c,identical
3hcmrs7eACP[c],3hcmrs7eACP_c,identical
t3c7mrseACP[c],t3c7mrseACP_c,identical
3hptdcaACP[c],3hptdcaACP_c,identical
tptdca2eACP[c],tptdca2eACP_c,identical
3hpalmACP[c],3hpalmACP_c,identical
tpalm2eACP[c],tpalm2eACP_c,identical
3hcpalm9eACP[c],3hcpalm9eACP_c,identical
t3c9palmeACP[c],t3c9palmeACP_c,identical
3hhepdcaACP[c],3hhepdcaACP_c,identical
thepdca2eACP[c],thepdca2eACP_c,identical
3hoctaACP[c],3hoctaACP_c,identical
toctd2eACP[c],toctd2eACP_c,identical
3hcvac11eACP[c],3hcvac11eACP_c,identical
t3c11vaceACP[c],t3c11vaceACP_c,identical
3haACP[c],3haACP_c,identical
but2eACP[c],but2eACP_c,identical
3hptnACP[c],3hptnACP_c,identical
tptn2eACP[c],tptn2eACP_c,identical
3hhexACP[c],3hhexACP_c,identical
thex2eACP[c],thex2eACP_c,identical
3hhepACP[c],3hhepACP_c,identical
thep2eACP[c],thep2eACP_c,identical
3hoctACP[c],3hoctACP_c,identical
toct2eACP[c],toct2eACP_c,identical
3hnonACP[c],3hnonACP_c,identical
tnon2eACP[c],tnon2eACP_c,identical
3haiC11ACP[c],3haiC11ACP_c,identical
taiC112eACP[c],taiC112eACP_c,identical
3haiC13ACP[c],3haiC13ACP_c,identical
taiC132eACP[c],taiC132eACP_c,identical
3haiC15ACP[c],3haiC15ACP_c,identical
taiC152eACP[c],taiC152eACP_c,identical
3haiC17ACP[c],3haiC17ACP_c,identical
taiC172eACP[c],taiC172eACP_c,identical
3haiC7ACP[c],3haiC7ACP_c,identical
taiC72eACP[c],taiC72eACP_c,identical
3haiC9ACP[c],3haiC9ACP_c,identical
taiC92eACP[c],taiC92eACP_c,identical
3hiC10ACP[c],3hiC10ACP_c,identical
tiC102eACP[c],tiC102eACP_c,identical
3hiC11ACP[c],3hiC11ACP_c,identical
tiC112eACP[c],tiC112eACP_c,identical
3hiC12ACP[c],3hiC12ACP_c,identical
tiC122eACP[c],tiC122eACP_c,identical
3hiC13ACP[c],3hiC13ACP_c,identical
tiC132eACP[c],tiC132eACP_c,identical
3hiC14ACP[c],3hiC14ACP_c,identical
tiC142eACP[c],tiC142eACP_c,identical
3hiC15ACP[c],3hiC15ACP_c,identical
tiC152eACP[c],tiC152eACP_c,identical
3hiC16ACP[c],3hiC16ACP_c,identical
tiC162eACP[c],tiC162eACP_c,identical
3hiC17ACP[c],3hiC17ACP_c,identical
tiC172eACP[c],tiC172eACP_c,identical
3hiC18ACP[c],3hiC18ACP_c,identical
tiC182eACP[c],tiC182eACP_c,identical
3hiC6ACP[c],3hiC6ACP_c,identical
tiC62eACP[c],tiC62eACP_c,identical
3hiC7ACP[c],3hiC7ACP_c,identical
tiC72eACP[c],tiC72eACP_c,identical
3hiC8ACP[c],3hiC8ACP_c,identical
tiC82eACP[c],tiC82eACP_c,identical
3hiC9ACP[c],3hiC9ACP_c,identical
tiC92eACP[c],tiC92eACP_c,identical
3odecACP[c],3odecACP_c,identical
3oundcaACP[c],3oundcaACP_c,identical
3oddecACP[c],3oddecACP_c,identical
3ocddec5eACP[c],3ocddec5eACP_c,identical
3otridcaACP[c],3otridcaACP_c,identical
3omrsACP[c],3omrsACP_c,identical
3ocmrs7eACP[c],3ocmrs7eACP_c,identical
3optdcaACP[c],3optdcaACP_c,identical
3opalmACP[c],3opalmACP_c,identical
3ocpalm9eACP[c],3ocpalm9eACP_c,identical
3ohepdcaACP[c],3ohepdcaACP_c,identical
3ooctdACP[c],3ooctdACP_c,identical
3ocvac11eACP[c],3ocvac11eACP_c,identical
actACP[c],actACP_c,identical
3optnACP[c],3optnACP_c,identical
3ohexACP[c],3ohexACP_c,identical
3ohepACP[c],3ohepACP_c,identical
3ooctACP[c],3ooctACP_c,identical
3ononACP[c],3ononACP_c,identical
3oaiC11ACP[c],3oaiC11ACP_c,identical
3oaiC13ACP[c],3oaiC13ACP_c,identical
3oaiC15ACP[c],3oaiC15ACP_c,identical
3oaiC17ACP[c],3oaiC17ACP_c,identical
3oaiC7ACP[c],3oaiC7ACP_c,identical
3oaiC9ACP[c],3oaiC9ACP_c,identical
3oiC10ACP[c],3oiC10ACP_c,identical
3oiC11ACP[c],3oiC11ACP_c,identical
3oiC12ACP[c],3oiC12ACP_c,identical
3oiC13ACP[c],3oiC13ACP_c,identical
3oiC14ACP[c],3oiC14ACP_c,identical
3oiC15ACP[c],3oiC15ACP_c,identical
3oiC16ACP[c],3oiC16ACP_c,identical
3oiC17ACP[c],3oiC17ACP_c,identical
3oiC18ACP[c],3oiC18ACP_c,identical
3oiC6ACP[c],3oiC6ACP_c,identical
3oiC7ACP[c],3oiC7ACP_c,identical
3oiC8ACP[c],3oiC8ACP_c,identical
3oiC9ACP[c],3oiC9ACP_c,identical
malACP[c],malACP_c,identical
ocACP[c],ocACP_c,identical
ACP[c],ACP_c,identical
nonACP[c],nonACP_c,identical
dcaACP[c],dcaACP_c,identical
cdec3eACP[c],cdec3eACP_c,identical
undcaACP[c],undcaACP_c,identical
ddcaACP[c],ddcaACP_c,identical
cddec5eACP[c],cddec5eACP_c,identical
tridcaACP[c],tridcaACP_c,identical
myrsACP[c],myrsACP_c,identical
tdeACP[c],tdeACP_c,identical
ptdcaACP[c],ptdcaACP_c,identical
palmACP[c],palmACP_c,identical
hdeACP[c],hdeACP_c,identical
ppACP[c],ppACP_c,identical
butACP[c],butACP_c,identical
ptnACP[c],ptnACP_c,identical
hexACP[c],hexACP_c,identical
hepACP[c],hepACP_c,identical
aiC9ACP[c],aiC9ACP_c,identical
aiC11ACP[c],aiC11ACP_c,identical
aiC13ACP[c],aiC13ACP_c,identical
aiC15ACP[c],aiC15ACP_c,identical
2mbACP[c],2mbACP_c,identical
aiC7ACP[c],aiC7ACP_c,identical
iC8ACP[c],iC8ACP_c,identical
iC9ACP[c],iC9ACP_c,identical
iC10ACP[c],iC10ACP_c,identical
iC11ACP[c],iC11ACP_c,identical
iC12ACP[c],iC12ACP_c,identical
iC13ACP[c],iC13ACP_c,identical
iC14ACP[c],iC14ACP_c,identical
iC15ACP[c],iC15ACP_c,identical
iC16ACP[c],iC16ACP_c,identical
ibACP[c],ibACP_c,identical
ivACP[c],ivACP_c,identical
iC6ACP[c],iC6ACP_c,identical
iC7ACP[c],iC7ACP_c,identical
alaala[c],alaala_c,identical
alalac[c],alalac_c,identical
hepdcaACP[c],hepdcaACP_c,identical
ocdcaACP[c],ocdcaACP_c,identical
octeACP[c],octeACP_c,identical
aiC17ACP[c],aiC17ACP_c,identical
iC17ACP[c],iC17ACP_c,identical
iC18ACP[c],iC18ACP_c,identical
etha[c],etha_c,identical
dcacoa[c],dcacoa_c,identical
dca[c],dca_c,identical
ddcacoa[c],ddcacoa_c,identical
ddca[c],ddca_c,identical
tdcoa[c],tdcoa_c,identical
ttdca[c],ttdca_c,identical
tdecoa[c],tdecoa_c,identical
ttdcea[c],ttdcea_c,identical
pmtcoa[c],pmtcoa_c,identical
hdca[c],hdca_c,identical
hdcoa[c],hdcoa_c,identical
hdcea[c],hdcea_c,identical
stcoa[c],stcoa_c,identical
ocdca[c],ocdca_c,identical
odecoa[c],odecoa_c,identical
ocdcea[c],ocdcea_c,identical
occoa[c],occoa_c,identical
octa[c],octa_c,identical
gam1p[c],gam1p_c,identical
acgam1p[c],acgam1p_c,identical
utp[c],utp_c,identical
gdpmann[c],gdpmann_c,identical
gmp[c],gmp_c,identical
glu__D[c],glu-D_c,identical
mi1p__D[c],mi1p-D_c,identical
udcpp[c],udcpp_c,identical
ugmda[c],ugmda_c,identical
uagmda[c],uagmda_c,identical
ump[c],ump_c,identical
dtdp4d6dg[c],dtdp4d6dg_c,identical
dtdp4d6dm[c],dtdp4d6dm_c,identical
dtdprmn[c],dtdprmn_c,identical
dtdpglu[c],dtdpglu_c,identical
26dap__M[c],26dap-M_c,identical
uamag[c],uamag_c,identical
ugmd[c],ugmd_c,identical
uacmam[c],uacmam_c,identical
uacmamu[c],uacmamu_c,identical
uacgam[c],uacgam_c,identical
uaccg[c],uaccg_c,identical
uaagmda[c],uaagmda_c,identical
uama[c],uama_c,identical
uamr[c],uamr_c,identical
udcpdp[c],udcpdp_c,identical
udpglcur[c],udpglcur_c,identical
cit[c],cit_c,identical
acon_C[c],acon-C_c,identical
phthr[c],phthr_c,identical
4hthr[c],4hthr_c,identical
dad_5[c],dad-5_c,identical
5drib[c],5drib_c,identical
adocbip[c],adocbip_c,identical
agdpcbi[c],agdpcbi_c,identical
apoACP[c],apoACP_c,identical
pan4p[c],pan4p_c,identical
apoACPact[c],apoACPact_c,identical
apoACPcda[c],apoACPcda_c,identical
ACPredL[c],ACPredL_c,identical
apoACPredL[c],apoACPredL_c,identical
ACPredN[c],ACPredN_c,identical
apoACPredN[c],apoACPredN_c,identical
ACPredQ[c],ACPredQ_c,identical
apoACPredQ[c],apoACPredQ_c,identical
pap[c],pap_c,identical
4adcho[c],4adcho_c,identical
4abz[c],4abz_c,identical
adcobhex[c],adcobhex_c,identical
appl[c],appl_c,identical
adocbi[c],adocbi_c,identical
applp[c],applp_c,identical
chor[c],chor_c,identical
adcobdam[c],adcobdam_c,identical
rdmbzi[c],rdmbzi_c,identical
adocbl[c],adocbl_c,identical
air[c],air_c,identical
4ahmmp[c],4ahmmp_c,identical
gcald[c],gcald_c,identical
ahdt[c],ahdt_c,identical
dhnpt[c],dhnpt_c,identical
pydx5p[c],pydx5p_c,identical
pyam5p[c],pyam5p_c,identical
8aonn[c],8aonn_c,identical
amob[c],amob_c,identical
dann[c],dann_c,identical
2dmmql9[c],2dmmql9_c,identical
ahcys[c],ahcys_c,identical
pimACP[c],pimACP_c,identical
5apru[c],5apru_c,identical
5aprbu[c],5aprbu_c,identical
iasp[c],iasp_c,identical
btn[c],btn_c,identical
btamp[c],btamp_c,identical
moco[c],moco_c,identical
mptamp[c],mptamp_c,identical
bmoco[c],bmoco_c,identical
cu2[c],cu2_c,identical
bmoco1gdp[c],bmoco1gdp_c,identical
bmocogdp[c],bmocogdp_c,identical
2fe2s[c],2fe2s_c,identical
dtbt[c],dtbt_c,identical
2fe1s[c],2fe1s_c,identical
met__L[c],met-L_c,identical
bwco[c],bwco_c,identical
bwco1gdp[c],bwco1gdp_c,identical
bwcogdp[c],bwcogdp_c,identical
wco[c],wco_c,identical
cbi[c],cbi_c,identical
pppi[c],pppi_c,identical
cbl1[c],cbl1_c,identical
4c2me[c],4c2me_c,identical
2p4c2me[c],2p4c2me_c,identical
ins[c],ins_c,identical
cys__L[c],cys-L_c,identical
igam[c],igam_c,identical
cigam[c],cigam_c,identical
cobalt2[c],cobalt2_c,identical
hgbam[c],hgbam_c,identical
co2dam[c],co2dam_c,identical
copre2[c],copre2_c,identical
copre3[c],copre3_c,identical
copre4[c],copre4_c,identical
copre6[c],copre6_c,identical
codhpre6[c],codhpre6_c,identical
copre8[c],copre8_c,identical
cobya[c],cobya_c,identical
cpmp[c],cpmp_c,identical
cpppg3[c],cpppg3_c,identical
pppg9[c],pppg9_c,identical
co1dam[c],co1dam_c,identical
ru5p__D[c],ru5p-D_c,identical
db4p[c],db4p_c,identical
dhf[c],dhf_c,identical
dhpt[c],dhpt_c,identical
dh6na[c],dh6na_c,identical
dhna[c],dhna_c,identical
nndp[c],nndp_c,identical
6hmhpt[c],6hmhpt_c,identical
dhmpt[c],dhmpt_c,identical
25drapp[c],25drapp_c,identical
6hmhptpp[c],6hmhptpp_c,identical
dmpp[c],dmpp_c,identical
ipdp[c],ipdp_c,identical
grdp[c],grdp_c,identical
fmnh2[c],fmnh2_c,identical
dmbzid[c],dmbzid_c,identical
dalua[c],dalua_c,identical
e4p[c],e4p_c,identical
h2mb4p[c],h2mb4p_c,identical
dnad[c],dnad_c,identical
nicrnt[c],nicrnt_c,identical
dpcoa[c],dpcoa_c,identical
2dhp[c],2dhp_c,identical
pant__R[c],pant-R_c,identical
dxyl5p[c],dxyl5p_c,identical
2me4p[c],2me4p_c,identical
dxyl[c],dxyl_c,identical
4per[c],4per_c,identical
egmeACP[c],egmeACP_c,identical
gmeACP[c],gmeACP_c,identical
epmeACP[c],epmeACP_c,identical
pmeACP[c],pmeACP_c,identical
fe2[c],fe2_c,identical
ppp9[c],ppp9_c,identical
pheme[c],pheme_c,identical
fe3[c],fe3_c,identical
4fe4s[c],4fe4s_c,identical
3fe4s[c],3fe4s_c,identical
no[c],no_c,identical
n2o[c],n2o_c,identical
ribflv[c],ribflv_c,identical
rbflvrd[c],rbflvrd_c,identical
fmn[c],fmn_c,identical
frdp[c],frdp_c,identical
ggdp[c],ggdp_c,identical
hxan[c],hxan_c,identical
glu1sa[c],glu1sa_c,identical
5aop[c],5aop_c,identical
ppgpp[c],ppgpp_c,identical
gdptp[c],gdptp_c,identical
glutrna[c],glutrna_c,identical
trnaglu[c],trnaglu_c,identical
gthrd[c],gthrd_c,identical
cgly[c],cgly_c,identical
2a5farapp[c],2a5farapp_c,identical
hgbyr[c],hgbyr_c,identical
hemeO[c],hemeO_c,identical
hemeA[c],hemeA_c,identical
hepdp[c],hepdp_c,identical
octdp[c],octdp_c,identical
hexdp[c],hexdp_c,identical
ppbng[c],ppbng_c,identical
hmbil[c],hmbil_c,identical
4ampm[c],4ampm_c,identical
ctp[c],ctp_c,identical
cdp[c],cdp_c,identical
mi1p__L[c],mi1p-L_c,identical
iacgam[c],iacgam_c,identical
iscs[c],iscs_c,identical
iscssh[c],iscssh_c,identical
lipoamp[c],lipoamp_c,identical
lipopb[c],lipopb_c,identical
lipoate[c],lipoate_c,identical
octapb[c],octapb_c,identical
malACPme[c],malACPme_c,identical
2mecdp[c],2mecdp_c,identical
cmp[c],cmp_c,identical
moadamp[c],moadamp_c,identical
moadcosh[c],moadcosh_c,identical
mobd[c],mobd_c,identical
mocogdp[c],mocogdp_c,identical
3mob[c],3mob_c,identical
mlthf[c],mlthf_c,identical
mpt[c],mpt_c,identical
moadcoo[c],moadcoo_c,identical
msh[c],msh_c,identical
mssg[c],mssg_c,identical
nmn[c],nmn_c,identical
nac[c],nac_c,identical
prpp[c],prpp_c,identical
ncam[c],ncam_c,identical
5prdmbz[c],5prdmbz_c,identical
quln[c],quln_c,identical
hgmeACP[c],hgmeACP_c,identical
ogmeACP[c],ogmeACP_c,identical
ohpb[c],ohpb_c,identical
hpmeACP[c],hpmeACP_c,identical
opmeACP[c],opmeACP_c,identical
pnto__R[c],pnto-R_c,identical
pre4[c],pre4_c,identical
pre5[c],pre5_c,identical
pre3b[c],pre3b_c,identical
dscl[c],dscl_c,identical
pre3a[c],pre3a_c,identical
pre6a[c],pre6a_c,identical
pre6b[c],pre6b_c,identical
pre8[c],pre8_c,identical
PCPredO[c],PCPredO_c,identical
apoPCPredO[c],apoPCPredO_c,identical
pdx5p[c],pdx5p_c,identical
4r5au[c],4r5au_c,identical
meoh[c],meoh_c,identical
2mahmp[c],2mahmp_c,identical
4ppan[c],4ppan_c,identical
4ppcys[c],4ppcys_c,identical
pydam[c],pydam_c,identical
pydx[c],pydx_c,identical
pydxn[c],pydxn_c,identical
dmlz[c],dmlz_c,identical
sufbcd[c],sufbcd_c,identical
sufsesh[c],sufsesh_c,identical
